"date","total_cases_sum","total_deaths_sum","death_percentage"
"2020-01-05",NULL,0,NULL
"2020-01-06",NULL,0,NULL
"2020-01-07",NULL,0,NULL
"2020-01-08",NULL,0,NULL
"2020-01-09",NULL,0,NULL
"2020-01-10",NULL,0,NULL
"2020-01-11",NULL,0,NULL
"2020-01-12",NULL,0,NULL
"2020-01-13",NULL,0,NULL
"2020-01-14",NULL,0,NULL
"2020-01-15",NULL,0,NULL
"2020-01-16",NULL,0,NULL
"2020-01-17",NULL,0,NULL
"2020-01-18",NULL,0,NULL
"2020-01-19",NULL,0,NULL
"2020-01-20",NULL,0,NULL
"2020-01-21",NULL,0,NULL
"2020-01-22",NULL,0,NULL
"2020-01-23",NULL,0,NULL
"2020-01-24",NULL,0,NULL
"2020-01-25",NULL,0,NULL
"2020-01-26",NULL,0,NULL
"2020-01-27",NULL,0,NULL
"2020-01-28",NULL,0,NULL
"2020-01-29",NULL,0,NULL
"2020-01-30",NULL,0,NULL
"2020-01-31",NULL,0,NULL
"2020-02-01",NULL,0,NULL
"2020-02-02",NULL,0,NULL
"2020-02-03",NULL,0,NULL
"2020-02-04",NULL,0,NULL
"2020-02-05",NULL,0,NULL
"2020-02-06",NULL,0,NULL
"2020-02-07",NULL,0,NULL
"2020-02-08",NULL,0,NULL
"2020-02-09",NULL,0,NULL
"2020-02-10",NULL,0,NULL
"2020-02-11",NULL,0,NULL
"2020-02-12",NULL,0,NULL
"2020-02-13",NULL,0,NULL
"2020-02-14",NULL,0,NULL
"2020-02-15",NULL,0,NULL
"2020-02-16",1,0,0
"2020-02-17",1,0,0
"2020-02-18",1,0,0
"2020-02-19",1,0,0
"2020-02-20",1,0,0
"2020-02-21",1,0,0
"2020-02-22",1,0,0
"2020-02-23",1,0,0
"2020-02-24",1,0,0
"2020-02-25",1,0,0
"2020-02-26",1,0,0
"2020-02-27",1,0,0
"2020-02-28",1,0,0
"2020-02-29",1,0,0
"2020-03-01",4,0,0
"2020-03-02",4,0,0
"2020-03-03",4,0,0
"2020-03-04",4,0,0
"2020-03-05",4,0,0
"2020-03-06",4,0,0
"2020-03-07",4,0,0
"2020-03-08",81,5,6.172839506172839
"2020-03-09",81,5,6.172839506172839
"2020-03-10",81,5,6.172839506172839
"2020-03-11",81,5,6.172839506172839
"2020-03-12",81,5,6.172839506172839
"2020-03-13",81,5,6.172839506172839
"2020-03-14",81,5,6.172839506172839
"2020-03-15",354,10,2.824858757062147
"2020-03-16",354,10,2.824858757062147
"2020-03-17",354,10,2.824858757062147
"2020-03-18",354,10,2.824858757062147
"2020-03-19",354,10,2.824858757062147
"2020-03-20",354,10,2.824858757062147
"2020-03-21",354,10,2.824858757062147
"2020-03-22",1431,29,2.026554856743536
"2020-03-23",1431,29,2.026554856743536
"2020-03-24",1431,29,2.026554856743536
"2020-03-25",1431,29,2.026554856743536
"2020-03-26",1431,29,2.026554856743536
"2020-03-27",1431,29,2.026554856743536
"2020-03-28",1431,29,2.026554856743536
"2020-03-29",4843,150,3.097253768325418
"2020-03-30",4843,150,3.097253768325418
"2020-03-31",4843,150,3.097253768325418
"2020-04-01",4843,150,3.097253768325418
"2020-04-02",4843,150,3.097253768325418
"2020-04-03",4843,150,3.097253768325418
"2020-04-04",4843,150,3.097253768325418
"2020-04-05",9827,601,6.115803398799226
"2020-04-06",9827,601,6.115803398799226
"2020-04-07",9827,601,6.115803398799226
"2020-04-08",9827,601,6.115803398799226
"2020-04-09",9827,601,6.115803398799226
"2020-04-10",9827,601,6.115803398799226
"2020-04-11",9827,601,6.115803398799226
"2020-04-12",15527,972,6.260063115862691
"2020-04-13",15527,972,6.260063115862691
"2020-04-14",15527,972,6.260063115862691
"2020-04-15",15527,972,6.260063115862691
"2020-04-16",15527,972,6.260063115862691
"2020-04-17",15527,972,6.260063115862691
"2020-04-18",15527,972,6.260063115862691
"2020-04-19",23276,1532,6.581886922151573
"2020-04-20",23276,1532,6.581886922151573
"2020-04-21",23276,1532,6.581886922151573
"2020-04-22",23276,1532,6.581886922151573
"2020-04-23",23276,1532,6.581886922151573
"2020-04-24",23276,1532,6.581886922151573
"2020-04-25",23276,1532,6.581886922151573
"2020-04-26",33330,1835,5.505550555055506
"2020-04-27",33330,1835,5.505550555055506
"2020-04-28",33330,1835,5.505550555055506
"2020-04-29",33330,1835,5.505550555055506
"2020-04-30",33330,1835,5.505550555055506
"2020-05-01",33330,1835,5.505550555055506
"2020-05-02",33330,1835,5.505550555055506
"2020-05-03",46956,2246,4.783201294829202
"2020-05-04",46956,2246,4.783201294829202
"2020-05-05",46956,2246,4.783201294829202
"2020-05-06",46956,2246,4.783201294829202
"2020-05-07",46956,2246,4.783201294829202
"2020-05-08",46956,2246,4.783201294829202
"2020-05-09",46956,2246,4.783201294829202
"2020-05-10",66499,2740,4.120362712221237
"2020-05-11",66499,2740,4.120362712221237
"2020-05-12",66499,2740,4.120362712221237
"2020-05-13",66499,2740,4.120362712221237
"2020-05-14",66499,2740,4.120362712221237
"2020-05-15",66499,2740,4.120362712221237
"2020-05-16",66499,2740,4.120362712221237
"2020-05-17",90347,3250,3.597241745713748
"2020-05-18",90347,3250,3.597241745713748
"2020-05-19",90347,3250,3.597241745713748
"2020-05-20",90347,3250,3.597241745713748
"2020-05-21",90347,3250,3.597241745713748
"2020-05-22",90347,3250,3.597241745713748
"2020-05-23",90347,3250,3.597241745713748
"2020-05-24",121164,3850,3.1775114720544053
"2020-05-25",121164,3850,3.1775114720544053
"2020-05-26",121164,3850,3.1775114720544053
"2020-05-27",121164,3850,3.1775114720544053
"2020-05-28",121164,3850,3.1775114720544053
"2020-05-29",121164,3850,3.1775114720544053
"2020-05-30",121164,3850,3.1775114720544053
"2020-05-31",160120,4698,2.934049462902823
"2020-06-01",160120,4698,2.934049462902823
"2020-06-02",160120,4698,2.934049462902823
"2020-06-03",160120,4698,2.934049462902823
"2020-06-04",160120,4698,2.934049462902823
"2020-06-05",160120,4698,2.934049462902823
"2020-06-06",160120,4698,2.934049462902823
"2020-06-07",208687,6455,3.0931490701385327
"2020-06-08",208687,6455,3.0931490701385327
"2020-06-09",208687,6455,3.0931490701385327
"2020-06-10",208687,6455,3.0931490701385327
"2020-06-11",208687,6455,3.0931490701385327
"2020-06-12",208687,6455,3.0931490701385327
"2020-06-13",208687,6455,3.0931490701385327
"2020-06-14",264682,8125,3.0697214015308933
"2020-06-15",264682,8125,3.0697214015308933
"2020-06-16",264682,8125,3.0697214015308933
"2020-06-17",264682,8125,3.0697214015308933
"2020-06-18",264682,8125,3.0697214015308933
"2020-06-19",264682,8125,3.0697214015308933
"2020-06-20",264682,8125,3.0697214015308933
"2020-06-21",332689,10350,3.111013589268055
"2020-06-22",332689,10350,3.111013589268055
"2020-06-23",332689,10350,3.111013589268055
"2020-06-24",332689,10350,3.111013589268055
"2020-06-25",332689,10350,3.111013589268055
"2020-06-26",332689,10350,3.111013589268055
"2020-06-27",332689,10350,3.111013589268055
"2020-06-28",411834,12708,3.085709290636519
"2020-06-29",411834,12708,3.085709290636519
"2020-06-30",411834,12708,3.085709290636519
"2020-07-01",411834,12708,3.085709290636519
"2020-07-02",411834,12708,3.085709290636519
"2020-07-03",411834,12708,3.085709290636519
"2020-07-04",411834,12708,3.085709290636519
"2020-07-05",508443,14683,2.8878360012823463
"2020-07-06",508443,14683,2.8878360012823463
"2020-07-07",508443,14683,2.8878360012823463
"2020-07-08",508443,14683,2.8878360012823463
"2020-07-09",508443,14683,2.8878360012823463
"2020-07-10",508443,14683,2.8878360012823463
"2020-07-11",508443,14683,2.8878360012823463
"2020-07-12",622968,16849,2.704633303797306
"2020-07-13",622968,16849,2.704633303797306
"2020-07-14",622968,16849,2.704633303797306
"2020-07-15",622968,16849,2.704633303797306
"2020-07-16",622968,16849,2.704633303797306
"2020-07-17",622968,16849,2.704633303797306
"2020-07-18",622968,16849,2.704633303797306
"2020-07-19",750398,18998,2.531723165573469
"2020-07-20",750398,18998,2.531723165573469
"2020-07-21",750398,18998,2.531723165573469
"2020-07-22",750398,18998,2.531723165573469
"2020-07-23",750398,18998,2.531723165573469
"2020-07-24",750398,18998,2.531723165573469
"2020-07-25",750398,18998,2.531723165573469
"2020-07-26",877432,21654,2.467883551089999
"2020-07-27",877432,21654,2.467883551089999
"2020-07-28",877432,21654,2.467883551089999
"2020-07-29",877432,21654,2.467883551089999
"2020-07-30",877432,21654,2.467883551089999
"2020-07-31",877432,21654,2.467883551089999
"2020-08-01",877432,21654,2.467883551089999
"2020-08-02",993332,24146,2.430808631957895
"2020-08-03",993332,24146,2.430808631957895
"2020-08-04",993332,24146,2.430808631957895
"2020-08-05",993332,24146,2.430808631957895
"2020-08-06",993332,24146,2.430808631957895
"2020-08-07",993332,24146,2.430808631957895
"2020-08-08",993332,24146,2.430808631957895
"2020-08-09",1085232,27140,2.5008477449983046
"2020-08-10",1085232,27140,2.5008477449983046
"2020-08-11",1085232,27140,2.5008477449983046
"2020-08-12",1085232,27140,2.5008477449983046
"2020-08-13",1085232,27140,2.5008477449983046
"2020-08-14",1085232,27140,2.5008477449983046
"2020-08-15",1085232,27140,2.5008477449983046
"2020-08-16",1159666,29587,2.5513380576821256
"2020-08-17",1159666,29587,2.5513380576821256
"2020-08-18",1159666,29587,2.5513380576821256
"2020-08-19",1159666,29587,2.5513380576821256
"2020-08-20",1159666,29587,2.5513380576821256
"2020-08-21",1159666,29587,2.5513380576821256
"2020-08-22",1159666,29587,2.5513380576821256
"2020-08-23",1231023,31811,2.5841109386258423
"2020-08-24",1231023,31811,2.5841109386258423
"2020-08-25",1231023,31811,2.5841109386258423
"2020-08-26",1231023,31811,2.5841109386258423
"2020-08-27",1231023,31811,2.5841109386258423
"2020-08-28",1231023,31811,2.5841109386258423
"2020-08-29",1231023,31811,2.5841109386258423
"2020-08-30",1290878,33660,2.6075275897489925
"2020-08-31",1290878,33660,2.6075275897489925
"2020-09-01",1290878,33660,2.6075275897489925
"2020-09-02",1290878,33660,2.6075275897489925
"2020-09-03",1290878,33660,2.6075275897489925
"2020-09-04",1290878,33660,2.6075275897489925
"2020-09-05",1290878,33660,2.6075275897489925
"2020-09-06",1347673,35328,2.621407418565186
"2020-09-07",1347673,35328,2.621407418565186
"2020-09-08",1347673,35328,2.621407418565186
"2020-09-09",1347673,35328,2.621407418565186
"2020-09-10",1347673,35328,2.621407418565186
"2020-09-11",1347673,35328,2.621407418565186
"2020-09-12",1347673,35328,2.621407418565186
"2020-09-13",1404388,36808,2.6209281195794896
"2020-09-14",1404388,36808,2.6209281195794896
"2020-09-15",1404388,36808,2.6209281195794896
"2020-09-16",1404388,36808,2.6209281195794896
"2020-09-17",1404388,36808,2.6209281195794896
"2020-09-18",1404388,36808,2.6209281195794896
"2020-09-19",1404388,36808,2.6209281195794896
"2020-09-20",1459265,38166,2.6154262591098947
"2020-09-21",1459265,38166,2.6154262591098947
"2020-09-22",1459265,38166,2.6154262591098947
"2020-09-23",1459265,38166,2.6154262591098947
"2020-09-24",1459265,38166,2.6154262591098947
"2020-09-25",1459265,38166,2.6154262591098947
"2020-09-26",1459265,38166,2.6154262591098947
"2020-09-27",1513990,39703,2.6224083382320886
"2020-09-28",1513990,39703,2.6224083382320886
"2020-09-29",1513990,39703,2.6224083382320886
"2020-09-30",1513990,39703,2.6224083382320886
"2020-10-01",1513990,39703,2.6224083382320886
"2020-10-02",1513990,39703,2.6224083382320886
"2020-10-03",1513990,39703,2.6224083382320886
"2020-10-04",1569417,41146,2.6217378810093175
"2020-10-05",1569417,41146,2.6217378810093175
"2020-10-06",1569417,41146,2.6217378810093175
"2020-10-07",1569417,41146,2.6217378810093175
"2020-10-08",1569417,41146,2.6217378810093175
"2020-10-09",1569417,41146,2.6217378810093175
"2020-10-10",1569417,41146,2.6217378810093175
"2020-10-11",1634376,42637,2.608763222171642
"2020-10-12",1634376,42637,2.608763222171642
"2020-10-13",1634376,42637,2.608763222171642
"2020-10-14",1634376,42637,2.608763222171642
"2020-10-15",1634376,42637,2.608763222171642
"2020-10-16",1634376,42637,2.608763222171642
"2020-10-17",1634376,42637,2.608763222171642
"2020-10-18",1704948,43686,2.5623068856058953
"2020-10-19",1704948,43686,2.5623068856058953
"2020-10-20",1704948,43686,2.5623068856058953
"2020-10-21",1704948,43686,2.5623068856058953
"2020-10-22",1704948,43686,2.5623068856058953
"2020-10-23",1704948,43686,2.5623068856058953
"2020-10-24",1704948,43686,2.5623068856058953
"2020-10-25",1780930,45060,2.5301387477329262
"2020-10-26",1780930,45060,2.5301387477329262
"2020-10-27",1780930,45060,2.5301387477329262
"2020-10-28",1780930,45060,2.5301387477329262
"2020-10-29",1780930,45060,2.5301387477329262
"2020-10-30",1780930,45060,2.5301387477329262
"2020-10-31",1780930,45060,2.5301387477329262
"2020-11-01",1859627,46551,2.503243930099961
"2020-11-02",1859627,46551,2.503243930099961
"2020-11-03",1859627,46551,2.503243930099961
"2020-11-04",1859627,46551,2.503243930099961
"2020-11-05",1859627,46551,2.503243930099961
"2020-11-06",1859627,46551,2.503243930099961
"2020-11-07",1859627,46551,2.503243930099961
"2020-11-08",1948342,48497,2.4891420500097006
"2020-11-09",1948342,48497,2.4891420500097006
"2020-11-10",1948342,48497,2.4891420500097006
"2020-11-11",1948342,48497,2.4891420500097006
"2020-11-12",1948342,48497,2.4891420500097006
"2020-11-13",1948342,48497,2.4891420500097006
